scenario,n,kernel,mae,rmse,r2,rmse_log,r2_log
a2,20,multiquadric,277.36123605840197,360.07849463880297,0.9999404407034665,0.0019726670422370303,0.9999125585737153
a2,20,inverse_multiquadric,156.16324150333065,201.98476911273772,0.9999812590140357,0.0009988641997580685,0.9999775806740522
a2,40,gaussian,270.9865208551765,327.2886225368602,0.9999507941195028,0.0015962797517324449,0.9999427431218636
a2,40,multiquadric,183.11411562208727,256.3266817974544,0.9999698183608764,0.001436808490164082,0.9999536118100834
a2,40,inverse_multiquadric,139.29633712035894,187.06847073180288,0.9999839248000766,0.000861057641866808,0.9999833400341737
a2,80,gaussian,150.27207359944296,197.67536707713788,0.9999820501716924,0.0010403031105379336,0.9999756819106723
a2,80,multiquadric,139.31998002461623,190.8666348790413,0.9999832654043087,0.0010649235401543338,0.9999745172373131
a2,80,inverse_multiquadric,114.57457844607008,155.47754179297203,0.9999888957169879,0.0006926688273146221,0.9999892189529407
a2_d2,5,gaussian,47438.628493081815,67170.17540152404,-0.7395046483594092,0.4428825741953964,-0.6015776108687829
a2_d2,5,multiquadric,51269.381511334366,70334.66494182912,-0.9072669127919049,0.46174843033594787,-0.7409314026603688
a2_d2,5,inverse_multiquadric,48082.49253913986,67581.96775752617,-0.7608983823091544,0.44470715236700087,-0.6148010842471643
a2_d2,10,gaussian,23416.404212380465,34367.322373127216,0.5446304124989709,0.23967591922682302,0.5309494960325056
a2_d2,10,multiquadric,24469.235807529894,34462.510850647086,0.5421044102857928,0.23570764217231777,0.5463529086521355
a2_d2,10,inverse_multiquadric,22079.615129792226,32747.290659487044,0.5865496366176445,0.23476776987132764,0.5499634854377446
a2_d2,20,gaussian,14144.060004931664,22765.00232654202,0.800194229409561,0.1309488334019406,0.8599851591780296
a2_d2,20,multiquadric,13484.814062015805,21955.725439779384,0.8141475839162602,0.12848606017027475,0.8652021925600908
a2_d2,20,inverse_multiquadric,12814.692787790893,21792.708536911246,0.8168971728944511,0.12646849950165026,0.8694022979688825
a2_d2,40,gaussian,6142.848973155194,9587.200604586274,0.9645630563212025,0.084416059003261,0.9418136721427598
a2_d2,40,multiquadric,5933.887818449806,9811.274563399103,0.9628872199601283,0.08744810938100764,0.9375587407941376
a2_d2,40,inverse_multiquadric,6960.455626982942,11420.943124655685,0.9497105869912011,0.10220476886947542,0.9147070521749322
a2_d2,80,gaussian,4120.020294186932,7553.370521111997,0.9780034684035949,0.11113589960236755,0.899149154826887
a2_d2,80,multiquadric,3432.3929205097597,8083.628094434275,0.9748066872473177,0.1293817388472678,0.8633162860822213
a2_d2,80,inverse_multiquadric,4075.4439275447494,10410.89341628176,0.9582122844769313,0.15480219334862996,0.80432964942748
d1,5,gaussian,53921.2497156456,77659.43857662992,0.4959292588871791,0.33751547889706673,0.7108883020121253
d1,5,multiquadric,49995.779854812135,76038.05453608524,0.5167576476011813,0.32859635797889497,0.7259664318071446
d1,5,inverse_multiquadric,47990.672276374644,74602.14817506718,0.5348364645363722,0.32205826024739564,0.7367628624538513
d1,10,gaussian,34389.92345092626,48814.10405441004,0.8008438869759134,0.2662348869195027,0.820109510930018
d1,10,multiquadric,32017.125521681875,46696.22288514328,0.8177504340051528,0.2600858629267253,0.8283231375066693
d1,10,inverse_multiquadric,32148.47827965729,46481.72676011897,0.819420892144078,0.25912260052347674,0.8295924385805468
d1,20,gaussian,26638.378970971204,37717.74807230036,0.8810965359804854,0.20888877418305013,0.8892589907461463
d1,20,multiquadric,23390.8831071477,34333.735899365834,0.9014753001198746,0.1985199560359996,0.8999800541228041
d1,20,inverse_multiquadric,22638.15827560121,33654.03177449529,0.9053376684153128,0.19160717444961645,0.906824483759985
d1,40,gaussian,20037.643533416387,31838.308557546516,0.9152766789985974,0.17417257743764664,0.9230093773691854
d1,40,multiquadric,15898.777100279478,27758.78935141701,0.9355973053666296,0.16424749375141737,0.9315338704841543
d1,40,inverse_multiquadric,15512.637638277078,26816.29940191657,0.9398963719815284,0.15884497297140837,0.9359638483120201
d1,80,gaussian,18087.244315463908,28978.497126343857,0.9298133178114592,0.14917306953687265,0.9435246245085552
d1,80,multiquadric,14159.805174270543,24318.08959690909,0.9505732670814628,0.13991380580642795,0.9503179606382481
d1,80,inverse_multiquadric,12218.088412326892,22505.817131696516,0.9576656819951953,0.13061447743651303,0.95670269061
d1_d2,5,gaussian,65430.806689046316,83311.93504570557,0.6251053824556143,0.529056114382744,0.45101337383414297
d1_d2,5,multiquadric,74338.99928741365,96353.10244403315,0.49855169506472785,0.5872769461640094,0.3235367710013757
d1_d2,5,inverse_multiquadric,64674.786458898205,83038.77387892411,0.6275597430910099,0.5228820059419238,0.4637520041818868
d1_d2,10,gaussian,46566.36462820364,64340.30936003942,0.7764055336315535,0.3948177326101487,0.6942604732550557
d1_d2,10,multiquadric,47768.49452748209,62417.747867289996,0.7895684031295427,0.3822520852740754,0.7134119909677255
d1_d2,10,inverse_multiquadric,45692.046689649724,62973.80391736499,0.7858023919132932,0.3897910796742825,0.7019960085300455
d1_d2,20,gaussian,35322.70230744192,52772.00414386549,0.8495812631090811,0.2824086616258319,0.8435720643303416
d1_d2,20,multiquadric,33690.37373104903,49992.34453393482,0.8650099459762963,0.2663583163813094,0.8608475647822966
d1_d2,20,inverse_multiquadric,35000.084985175046,53565.9864900149,0.8450209563489218,0.2815531075401422,0.8445184222539232
d1_d2,40,gaussian,29634.542111686245,43657.71746511891,0.8970522608037139,0.18586057386906274,0.9322463281560286
